year,headline,detail
1669,Brand distils phosphorus,A Hamburg alchemist boils down urine looking for gold and finds a glowing white solid - the first element with a named discoverer.
1735,Brandt isolates cobalt,The first metal discovered since antiquity breaks the ancient list of seven.
1766,Cavendish weighs inflammable air,Hydrogen is recognised as a distinct substance decades before it is named.
1789,Lavoisier's table of simple substances,Thirty-three bodies that resist further decomposition - the first modern element list.
1807,Davy tears the alkalis apart,Electrolysis yields potassium and sodium in a single week; calcium barium and magnesium follow.
1829,Doebereiner's triads,Groups of three elements whose middle weight is the average of the other two hint at a hidden order.
1860,Spectroscopy turns colour into identity,Bunsen and Kirchhoff read caesium then rubidium straight out of a flame.
1869,Mendeleev orders the elements,Sorted by atomic weight the properties repeat - and the gaps are left deliberately empty.
1875,Gallium lands where eka-aluminium was predicted,Mendeleev corrects the discoverer's density measurement by post. He is right.
1886,Germanium completes the prophecy,Eka-silicon arrives fifteen years after it was described in detail.
1894,Argon: an entire group nobody predicted,An unreactive gas with no place in the table forces a new column - group zero.
1898,Four elements in one year,Neon krypton and xenon from liquid air; polonium and radium from pitchblende.
1913,Moseley: atomic number is the real order,X-ray spectra give each element an integer. The table is re-sorted and the remaining gaps are counted exactly.
1923,Hafnium fills gap 72,Moseley's numbered holes begin to close one by one.
1937,Technetium: the first element made by people,Element 43 never existed in stable form - so it was manufactured.
1940,The first transuranics,McMillan and Abelson push past uranium to neptunium; plutonium follows within months.
1945,Seaborg's actinide concept,Moving the heavy elements into a second f-block row below the table finally makes their chemistry fit.
1955,Mendelevium,Element 101 is named for the man who left the gaps.
1964,The transfermium wars begin,Berkeley and Dubna spend three decades contesting who made elements 104 to 106.
2002,Oganesson,A single atom of element 118 closes the noble gas column.
2016,Period 7 is complete,Nihonium moscovium tennessine and oganesson are named. Every box from 1 to 118 is filled.
