Z,symbol,name,atomic_weight,discovery_year,year_display,discoverer,source,disputed,alt_year,alt_basis,notes
1,H,Hydrogen,1.008,1766,1766,Henry Cavendish,HIST,0,,,Recognised as a distinct 'inflammable air'; named by Lavoisier 1783
2,He,Helium,4.0026,1868,1868,Pierre Janssen / Norman Lockyer,HIST,1,1895,isolation,Solar spectral line 1868; terrestrial isolation by Ramsay 1895
3,Li,Lithium,6.94,1817,1817,Johan August Arfwedson,RSC,0,1821,isolation,Metal isolated by Brande/Davy 1821
4,Be,Beryllium,9.0122,1798,1798,Louis-Nicolas Vauquelin,RSC,1,1828,isolation,Oxide identified 1798; metal by Wohler and Bussy 1828
5,B,Boron,10.81,1808,1808,Davy / Gay-Lussac and Thenard,HIST,0,,,Both groups reported within days
6,C,Carbon,12.011,-3000,ancient,unknown (prehistoric),HIST,0,,,Known as charcoal and diamond since antiquity
7,N,Nitrogen,14.007,1772,1772,Daniel Rutherford,RSC,0,,,Noxious air; also Scheele and Cavendish independently
8,O,Oxygen,15.999,1771,1771,Carl Wilhelm Scheele,HIST,1,1774,publication,Scheele prepared 1771 but published 1777; Priestley published 1774
9,F,Fluorine,18.998,1810,1810,Andre-Marie Ampere / Humphry Davy,HIST,1,1886,isolation,Recognised as an element in hydrofluoric acid 1810; isolated by Moissan 1886
10,Ne,Neon,20.18,1898,1898,William Ramsay and Morris Travers,IUPAC,0,,,
11,Na,Sodium,22.99,1807,1807,Humphry Davy,RSC,0,,,Electrolysis of caustic soda
12,Mg,Magnesium,24.305,1755,1755,Joseph Black,HIST,1,1808,isolation,Magnesia recognised as distinct 1755; metal by Davy 1808
13,Al,Aluminium,26.982,1825,1825,Hans Christian Orsted,HIST,1,1827,isolation,Impure metal 1825; Wohler produced purer metal 1827
14,Si,Silicon,28.085,1823,1823,Jons Jacob Berzelius,RSC,1,1811,impure prep,Gay-Lussac and Thenard made impure silicon 1811
15,P,Phosphorus,30.974,1669,1669,Hennig Brand,HIST,0,,,First element with a documented individual discoverer
16,S,Sulfur,32.06,-3000,ancient,unknown (prehistoric),HIST,0,,,
17,Cl,Chlorine,35.45,1774,1774,Carl Wilhelm Scheele,HIST,1,1810,element recognition,Scheele isolated the gas but thought it a compound; Davy showed it elemental 1810
18,Ar,Argon,39.95,1894,1894,Lord Rayleigh and William Ramsay,IUPAC,0,,,First noble gas found on Earth
19,K,Potassium,39.098,1807,1807,Humphry Davy,RSC,0,,,
20,Ca,Calcium,40.078,1808,1808,Humphry Davy,RSC,0,,,
21,Sc,Scandium,44.956,1879,1879,Lars Fredrik Nilson,RSC,0,,,Confirmed Mendeleev's eka-boron
22,Ti,Titanium,47.867,1791,1791,William Gregor,RSC,0,1795,renaming,Named by Klaproth 1795
23,V,Vanadium,50.942,1801,1801,Andres Manuel del Rio,HIST,1,1830,rediscovery,Del Rio withdrew his claim; rediscovered by Sefstrom 1830
24,Cr,Chromium,51.996,1797,1797,Louis-Nicolas Vauquelin,RSC,0,1798,isolation,
25,Mn,Manganese,54.938,1774,1774,Johan Gottlieb Gahn / C. W. Scheele,RSC,0,,,
26,Fe,Iron,55.845,-3000,ancient,unknown (prehistoric),HIST,0,,,
27,Co,Cobalt,58.933,1735,1735,Georg Brandt,RSC,0,,,First metal discovered since antiquity
28,Ni,Nickel,58.693,1751,1751,Axel Fredrik Cronstedt,RSC,0,,,
29,Cu,Copper,63.546,-5000,ancient,unknown (prehistoric),HIST,0,,,
30,Zn,Zinc,65.38,-1300,ancient,Indian metallurgists,HIST,1,1746,European isolation,Smelted in India by c.1300; isolated in Europe by Marggraf 1746
31,Ga,Gallium,69.723,1875,1875,Paul-Emile Lecoq de Boisbaudran,RSC,0,,,Confirmed Mendeleev's eka-aluminium
32,Ge,Germanium,72.63,1886,1886,Clemens Winkler,RSC,0,,,Confirmed Mendeleev's eka-silicon
33,As,Arsenic,74.922,1250,ancient,Albertus Magnus (attributed),HIST,1,-1000,ancient use,Compounds used in antiquity; elemental form described c.1250
34,Se,Selenium,78.971,1817,1817,Jons Jacob Berzelius,RSC,0,,,
35,Br,Bromine,79.904,1826,1826,Antoine Jerome Balard,RSC,1,1825,first prep,Prepared 1825; announced 1826
36,Kr,Krypton,83.798,1898,1898,William Ramsay and Morris Travers,IUPAC,0,,,
37,Rb,Rubidium,85.468,1861,1861,Robert Bunsen and Gustav Kirchhoff,RSC,0,,,Found by flame spectroscopy
38,Sr,Strontium,87.62,1790,1790,Adair Crawford,HIST,1,1808,isolation,Strontia recognised 1790; metal by Davy 1808
39,Y,Yttrium,88.906,1794,1794,Johan Gadolin,RSC,0,1828,isolation,
40,Zr,Zirconium,91.224,1789,1789,Martin Heinrich Klaproth,RSC,0,1824,isolation,
41,Nb,Niobium,92.906,1801,1801,Charles Hatchett,RSC,1,1844,re-identification,Called columbium; confirmed distinct from tantalum by Rose 1844
42,Mo,Molybdenum,95.95,1778,1778,Carl Wilhelm Scheele,RSC,0,1781,isolation,
43,Tc,Technetium,98,1937,1937,Carlo Perrier and Emilio Segre,IUPAC,0,,,Confirmed Mendeleev's eka-manganese; first synthetic element
44,Ru,Ruthenium,101.07,1844,1844,Karl Ernst Klaus,RSC,0,,,
45,Rh,Rhodium,102.91,1803,1803,William Hyde Wollaston,RSC,0,,,
46,Pd,Palladium,106.42,1802,1802,William Hyde Wollaston,RSC,0,,,
47,Ag,Silver,107.87,-3000,ancient,unknown (prehistoric),HIST,0,,,
48,Cd,Cadmium,112.41,1817,1817,Friedrich Stromeyer,RSC,0,,,
49,In,Indium,114.82,1863,1863,Ferdinand Reich and Hieronymous Richter,RSC,0,,,
50,Sn,Tin,118.71,-3000,ancient,unknown (prehistoric),HIST,0,,,
51,Sb,Antimony,121.76,-1600,ancient,unknown (prehistoric),HIST,0,1450,description,
52,Te,Tellurium,127.6,1782,1782,Franz-Joseph Muller von Reichenstein,RSC,0,1798,naming,Named by Klaproth 1798
53,I,Iodine,126.9,1811,1811,Bernard Courtois,RSC,0,,,
54,Xe,Xenon,131.29,1898,1898,William Ramsay and Morris Travers,IUPAC,0,,,
55,Cs,Caesium,132.91,1860,1860,Robert Bunsen and Gustav Kirchhoff,RSC,0,,,First element found by spectroscopy
56,Ba,Barium,137.33,1774,1774,Carl Wilhelm Scheele,HIST,1,1808,isolation,Baryta recognised 1774; metal by Davy 1808
57,La,Lanthanum,138.91,1839,1839,Carl Gustaf Mosander,RSC,0,,,
58,Ce,Cerium,140.12,1803,1803,Berzelius and Hisinger / Klaproth,RSC,0,,,
59,Pr,Praseodymium,140.91,1885,1885,Carl Auer von Welsbach,RSC,0,,,Split from Mosander's didymium
60,Nd,Neodymium,144.24,1885,1885,Carl Auer von Welsbach,RSC,0,,,Split from Mosander's didymium
61,Pm,Promethium,145,1945,1945,Marinsky Glendenin and Coryell,IUPAC,1,1947,announcement,Identified 1945 at Oak Ridge; announced 1947
62,Sm,Samarium,150.36,1879,1879,Paul-Emile Lecoq de Boisbaudran,RSC,0,,,
63,Eu,Europium,151.96,1901,1901,Eugene-Anatole Demarcay,RSC,1,1896,first indication,
64,Gd,Gadolinium,157.25,1880,1880,Jean Charles de Marignac,RSC,0,1886,isolation,
65,Tb,Terbium,158.93,1843,1843,Carl Gustaf Mosander,RSC,0,,,
66,Dy,Dysprosium,162.5,1886,1886,Paul-Emile Lecoq de Boisbaudran,RSC,0,,,
67,Ho,Holmium,164.93,1878,1878,Delafontaine Soret and Cleve,RSC,1,1879,Cleve's separation,
68,Er,Erbium,167.26,1843,1843,Carl Gustaf Mosander,RSC,0,,,
69,Tm,Thulium,168.93,1879,1879,Per Teodor Cleve,RSC,0,,,
70,Yb,Ytterbium,173.05,1878,1878,Jean Charles de Marignac,RSC,0,,,
71,Lu,Lutetium,174.97,1907,1907,Georges Urbain / Carl Auer von Welsbach,RSC,1,1906,Welsbach priority,Priority contested between Urbain and Welsbach
